selection_view,target,target_scope,experiment_scope,dataset_scope,source_label,model_name,model_family,feature_group,pipeline,variant,control_type,is_control,preprocessing_method,preprocessing_algorithm,features_csv,lag_window,hidden_size,lr,epochs,patience,batch_size,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,n_test_total,artifact_path,source_report_path,source_summary_path,selection_rule,note
,target_h1,h1,deep_daily_price,sp500_index_daily,deep_torch_h1_best_configs,Informer,Informer,G2_price_technical,,,,False,daily_features_train_fold_standardization,Daily S&P 500 index feature matrix; model runner standardizes sequence features within each train fold only.,,64,32.0,0.001,20,10,64.0,0.0077391294762492,0.0059576891362667,0.5714285714285714,3.1569571975125164,4966,17,63,artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_Informer_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,reports\deep_torch_model_summary_h1.json,"Lowest RMSE, tie-break by higher directional accuracy then higher Sharpe.",
,target_h1,h1,deep_daily_price,sp500_index_daily,deep_torch_h1_best_configs,TFT,TFT,G2_price_technical,,,,False,daily_features_train_fold_standardization,Daily S&P 500 index feature matrix; model runner standardizes sequence features within each train fold only.,,64,32.0,0.001,20,10,64.0,0.0078048990108072,0.0056974575854837,0.5714285714285714,0.5232286377100563,4966,17,63,artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,reports\deep_torch_model_summary_h1.json,"Lowest RMSE, tie-break by higher directional accuracy then higher Sharpe.",
,target_h1,h1,deep_daily_price,sp500_index_daily,deep_torch_h1_best_configs,TFT,TFT,G1_price_only,,,,False,daily_features_train_fold_standardization,Daily S&P 500 index feature matrix; model runner standardizes sequence features within each train fold only.,,64,32.0,0.001,20,10,64.0,0.0078348498791456,0.0057461247779428,0.5873015873015873,1.2701770226898748,4966,8,63,artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_TFT_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,reports\deep_torch_model_summary_h1.json,"Lowest RMSE, tie-break by higher directional accuracy then higher Sharpe.",
,target_h1,h1,deep_daily_price,sp500_index_daily,deep_torch_h1_best_configs,PatchTST,PatchTST,G1_price_only,,,,False,daily_features_train_fold_standardization,Daily S&P 500 index feature matrix; model runner standardizes sequence features within each train fold only.,,64,32.0,0.001,20,10,64.0,0.0078763477504253,0.005996168591082,0.492063492063492,2.0257822784407438,4966,8,63,artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,reports\deep_torch_model_summary_h1.json,"Lowest RMSE, tie-break by higher directional accuracy then higher Sharpe.",
,target_h1,h1,deep_daily_price,sp500_index_daily,deep_torch_h1_best_configs,PatchTST,PatchTST,G3_plus_breadth,,,,False,daily_features_train_fold_standardization,Daily S&P 500 index feature matrix; model runner standardizes sequence features within each train fold only.,,64,32.0,0.001,20,10,64.0,0.0079053044319152,0.0059410724788904,0.5714285714285714,4.084323268711713,4966,24,63,artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_PatchTST_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,reports\deep_torch_model_summary_h1.json,"Lowest RMSE, tie-break by higher directional accuracy then higher Sharpe.",
,target_h1,h1,deep_daily_price,sp500_index_daily,deep_torch_h1_best_configs,PatchTST,PatchTST,G2_price_technical,,,,False,daily_features_train_fold_standardization,Daily S&P 500 index feature matrix; model runner standardizes sequence features within each train fold only.,,64,32.0,0.001,20,10,64.0,0.0079078674316406,0.0056678764522075,0.5873015873015873,0.6219466382041966,4966,17,63,artifacts\models\deep_torch\target_h1\target_h1_G2_price_technical_PatchTST_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,reports\deep_torch_model_summary_h1.json,"Lowest RMSE, tie-break by higher directional accuracy then higher Sharpe.",
,target_h1,h1,deep_daily_price,sp500_index_daily,deep_torch_h1_best_configs,GRU,GRU,G3_plus_breadth,,,,False,daily_features_train_fold_standardization,Daily S&P 500 index feature matrix; model runner standardizes sequence features within each train fold only.,,64,32.0,0.001,20,10,64.0,0.0080069936811923,0.0058561381883919,0.6507936507936508,3.842783005188128,4966,24,63,artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_GRU_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,reports\deep_torch_model_summary_h1.json,"Lowest RMSE, tie-break by higher directional accuracy then higher Sharpe.",
,target_h1,h1,deep_daily_price,sp500_index_daily,deep_torch_h1_best_configs,TFT,TFT,G3_plus_breadth,,,,False,daily_features_train_fold_standardization,Daily S&P 500 index feature matrix; model runner standardizes sequence features within each train fold only.,,64,32.0,0.001,20,10,64.0,0.0080087911337614,0.0058370940387248,0.5873015873015873,0.6876036125792845,4966,24,63,artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_TFT_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,reports\deep_torch_model_summary_h1.json,"Lowest RMSE, tie-break by higher directional accuracy then higher Sharpe.",
,target_h1,h1,deep_daily_price,sp500_index_daily,deep_torch_h1_best_configs,GRU,GRU,G1_price_only,,,,False,daily_features_train_fold_standardization,Daily S&P 500 index feature matrix; model runner standardizes sequence features within each train fold only.,,64,32.0,0.001,20,10,64.0,0.0081109534949064,0.0058160042390227,0.5714285714285714,0.7405183180972457,4966,8,63,artifacts\models\deep_torch\target_h1\target_h1_G1_price_only_GRU_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,reports\deep_torch_model_summary_h1.json,"Lowest RMSE, tie-break by higher directional accuracy then higher Sharpe.",
,target_h1,h1,deep_daily_price,sp500_index_daily,deep_torch_h1_best_configs,FEDformer,FEDformer,G3_plus_breadth,,,,False,daily_features_train_fold_standardization,Daily S&P 500 index feature matrix; model runner standardizes sequence features within each train fold only.,,64,32.0,0.001,20,10,64.0,0.0082163689658045,0.0061614545993506,0.5238095238095238,1.1430901894914396,4966,24,63,artifacts\models\deep_torch\target_h1\target_h1_G3_plus_breadth_FEDformer_lag64_h32_lr0.001_e20_p10.pt,reports\deep_torch_model_results_h1_best_configs.csv,reports\deep_torch_model_summary_h1.json,"Lowest RMSE, tie-break by higher directional accuracy then higher Sharpe.",
